"","tiplabel","longlabel","stringdates","refclade"
"1544","KU591582","KU591582,A/Alaska/260/2015,2015/10/22","2015/10/22","A1"
"1545","KX413457","KX413457,A/Alaska/264/2015,2015/11/11","2015/11/11","A1"
"1546","KX416752","KX416752,A/New","6752,A/New","A1"
"1547","KX416064","KX416064,A/Wyoming/07/2016,2016/03/10","2016/03/10","A1"
"1548","KX414097","KX414097,A/Indiana/10/2016,2016/01/19","2016/01/19","A1"
"1549","KX916500","KX916500,A/Texas/177/2016,2016/06/23","2016/06/23","A1"
"1550","KY116454","KY116454,A/Florida/79/2016,2016/10/03","2016/10/03","A1"
"1551","CY209850","CY209850,A/California/5365/2016,2016/03/28","2016/03/28","A1"
"1552","KX413713","KX413713,A/Montana/39/2015,2015/12/24","2015/12/24","A1"
"1553","KX413617","KX413617,A/Montana/36/2015,2015/12/10","2015/12/10","A1"
"1554","KX413331","KX413331,A/Hawaii/76/2015,2015/10/18","2015/10/18","A1"
"1555","CY231118","CY231118,A/Maryland/26/2017,2017/03/09","2017/03/09","A1"
"1556","KX412324","KX412324,A/Alaska/250/2015,2015/09/20","2015/09/20","A1"
"1557","KX413673","KX413673,A/Colorado/29/2015,2015/12/17","2015/12/17","A1"
"1558","KY487462","KY487462,A/Linkou/0061/2016,2016/01/18","2016/01/18","A1"
"1559","CY211610","CY211610,A/Idaho/35/2016,2016/09/27","2016/09/27","A1"
"1560","KY116286","KY116286,A/Hawaii/77/2016,2016/09/22","2016/09/22","A1"
"1561","CY255281","CY255281,A/Canberra/93/2016,2016/10/04","2016/10/04","A1"
"1562","CY254905","CY254905,A/Victoria/589/2016,2016/08/21","2016/08/21","A1"
"1563","CY255425","CY255425,A/Brisbane/298/2016,2016/10/29","2016/10/29","A1"
"1564","CY254793","CY254793,A/Victoria/2074/2016,2016/08/09","2016/08/09","A1"
"1565","CY254833","CY254833,A/Victoria/909/2016,2016/08/11","2016/08/11","A1"
"1566","CY255481","CY255481,A/Victoria/670/2016,2016/11/11","2016/11/11","A1"
"1567","CY255249","CY255249,A/Victoria/123/2016,2016/09/10","2016/09/10","A1"
"1568","CY209384","CY209384,A/Montana/58/2016,2016/11/05","2016/11/05","A1"
"1569","MF673252","MF673252,A/Thailand/CU-B18031/2016,2016/09/02","2016/09/02","A1"
"1570","CY220191","CY220191,A/New","0191,A/New","A1"
"1571","CY220199","CY220199,A/New","0199,A/New","A1"
"1572","CY223197","CY223197,A/Arizona/09/2017,2017/02/17","2017/02/17","A1"
"1573","CY244179","CY244179,A/Texas/6067/2017,2017/02/21","2017/02/21","A1"
"1574","CY216145","CY216145,A/New","6145,A/New","A1"
"1575","CY210703","CY210703,A/Pennsylvania/97/2016,2016/11/11","2016/11/11","A1"
"1576","CY226559","CY226559,A/Tennessee/38/2016,2016/12/15","2016/12/15","A1"
"1577","KY583627","KY583627,A/British",",A/British","A1"
"1578","KX917764","KX917764,A/Virginia/52/2016,2016/04/13","2016/04/13","A1"
"1579","KX415024","KX415024,A/Nebraska/10/2016,2016/02/17","2016/02/17","A1"
"1580","CY225342","CY225342,A/Washington/29/2017,2017/02/27","2017/02/27","A1"
"1581","CY235816","CY235816,A/Minnesota/31/2017,2017/05/13","2017/05/13","A1"
"1582","CY212754","CY212754,A/Nebraska/27/2016,2016/12/13","2016/12/13","A1"
"1583","CY216273","CY216273,A/New","6273,A/New","A1"
"1584","MF182465","MF182465,A/California/NHRC_BRD21519N/2017,2017/02/08","2017/02/08","A1"
"1585","CY244115","CY244115,A/New","4115,A/New","A1"
"1586","CY209208","CY209208,A/South","08,A/South","A1"
"1587","KY003564","KY003564,A/California/121/2016,2016/07/09","2016/07/09","A1"
"1588","KY289165","KY289165,A/North","65,A/North","A1"
"1589","CY214386","CY214386,A/Tennessee/35/2016,2016/12/13","2016/12/13","A1"
"1590","CY244257","CY244257,A/Ohio/6145/2017,2017/03/15","2017/03/15","A1"
"1591","CY213010","CY213010,A/New","3010,A/New","A1"
"1592","CY213098","CY213098,A/Illinois/53/2016,2016/12/16","2016/12/16","A1"
"1593","CY234945","CY234945,A/Virginia/5663/2016,2016/12/20","2016/12/20","A1"
"1594","KY116230","KY116230,A/Pennsylvania/89/2016,2016/09/27","2016/09/27","A1"
"1595","KY003406","KY003406,A/Iowa/24/2016,2016/09/02","2016/09/02","A1"
"1596","CY212057","CY212057,A/Florida/103/2016,2016/12/08","2016/12/08","A1"
"1597","CY209200","CY209200,A/South","00,A/South","A1"
"1598","CY212834","CY212834,A/Indiana/44/2016,2016/12/02","2016/12/02","A1"
"1599","KY289544","KY289544,A/Michigan/107/2016,2016/10/21","2016/10/21","A1"
"1600","CY255081","CY255081,A/Sydney/1094/2016,2016/09/08","2016/09/08","A1"
"1601","CY215977","CY215977,A/Illinois/07/2017,2017/01/12","2017/01/12","A1"
"1602","CY255121","CY255121,A/South","21,A/South","A1"
"1603","KY289437","KY289437,A/Utah/45/2016,2016/10/26","2016/10/26","A1"
"1604","CY230101","CY230101,A/Michigan/28/2017,2017/02/26","2017/02/26","A1"
"1605","KY116558","KY116558,A/Massachusetts/36/2016,2016/10/04","2016/10/04","A1"
"1606","CY255185","CY255185,A/Brisbane/224/2016,2016/09/25","2016/09/25","A1"
"1607","CY255193","CY255193,A/Brisbane/225/2016,2016/08/25","2016/08/25","A1"
"1608","CY254497","CY254497,A/Newcastle/58/2016,2016/07/10","2016/07/10","A1"
"1609","CY210751","CY210751,A/Georgia/59/2016,2016/10/02","2016/10/02","A1"
"1610","CY254945","CY254945,A/Brisbane/1009/2016,2016/08/10","2016/08/10","A1"
"1611","CY215082","CY215082,A/Nevada/59/2016,2016/12/22","2016/12/22","A1"
"1612","CY230690","CY230690,A/Alabama/15/2017,2017/03/20","2017/03/20","A1"
"1613","CY230682","CY230682,A/Alabama/16/2017,2017/03/29","2017/03/29","A1"
"1614","CY214034","CY214034,A/Texas/01/2017,2017/01/02","2017/01/02","A1"
"1615","CY215090","CY215090,A/Nevada/56/2016,2016/12/08","2016/12/08","A1"
"1616","KY116262","KY116262,A/Hawaii/73/2016,2016/09/16","2016/09/16","A1"
"1617","CY234882","CY234882,A/California/5600/2016,2016/10/14","2016/10/14","A1"
"1618","KY435816","KY435816,A/Israel/R147/2016,2016/11/14","2016/11/14","A1"
"1619","CY254673","CY254673,A/Newcastle/68/2016,2016/07/30","2016/07/30","A1"
"1620","CY234989","CY234989,A/Texas/5707/2016,2016/12/28","2016/12/28","A1"
"1621","CY215889","CY215889,A/Illinois/08/2017,2017/01/15","2017/01/15","A1"
"1622","CY255137","CY255137,A/Sydney/297/2016,2016/09/09","2016/09/09","A1"
"1623","KU591464","KU591464,A/Montana/27/2015,2015/09/20","2015/09/20","A1"
"1624","CY254697","CY254697,A/Victoria/808/2016,2016/08/13","2016/08/13","A1"
"1625","CY234958","CY234958,A/California/5676/2017,2017/01/04","2017/01/04","A1"
"1626","CY255361","CY255361,A/South","61,A/South","A1"
"1627","CY255529","CY255529,A/South","29,A/South","A1"
"1628","CY255097","CY255097,A/South","97,A/South","A1"
"1629","CY212922","CY212922,A/California/189/2016,2016/12/15","2016/12/15","A1"
"1630","CY254465","CY254465,A/Sydney/1014/2016,2016/07/11","2016/07/11","A1"
"1631","CY259231","CY259231,A/New","9231,A/New","A1"
"1632","CY254857","CY254857,A/Victoria/2073/2016,2016/08/09","2016/08/09","A1"
"1633","CY215066","CY215066,A/Montana/01/2017,2017/01/01","2017/01/01","A1"
"1634","CY254689","CY254689,A/Victoria/546/2016,2016/07/31","2016/07/31","A1"
"1635","CY255521","CY255521,A/South","21,A/South","A1"
"1636","CY212570","CY212570,A/Idaho/43/2016,2016/12/07","2016/12/07","A1"
"1637","KX916868","KX916868,A/Ohio/30/2016,2016/08/10","2016/08/10","A1"
"1638","KY003555","KY003555,A/Michigan/81/2016,2016/07/12","2016/07/12","A1"
"1639","CY254801","CY254801,A/Victoria/554/2016,2016/08/11","2016/08/11","A1"
"1640","CY214898","CY214898,A/California/209/2016,2016/12/26","2016/12/26","A1"
"1641","CY255537","CY255537,A/South","37,A/South","A1"
"1642","CY210230","CY210230,A/California/139/2016,2016/10/16","2016/10/16","A1"
"1643","CY213266","CY213266,A/Mississippi/19/2016,2016/12/06","2016/12/06","A1"
"1644","CY226751","CY226751,A/Michigan/09/2017,2017/01/11","2017/01/11","A1"
"1645","CY220743","CY220743,A/Michigan/22/2017,2017/02/08","2017/02/08","A1"
"1646","CY214570","CY214570,A/West","570,A/West","A1"
"1647","CY218118","CY218118,A/Wisconsin/07/2017,2017/01/13","2017/01/13","3c2.A"
"1648","CY253354","CY253354,A/Brisbane/1004/2015,2015/07/24","2015/07/24","3c2.A"
"1649","KU590983","KU590983,A/Arkansas/08/2015,2015/10/12","2015/10/12","3c2.A"
"1650","KU591598","KU591598,A/West","598,A/West","3c2.A"
"1651","KU590358","KU590358,A/North","58,A/North","3c2.A"
"1652","KX003413","KX003413,A/Oklahoma/21/2015,2015/11/18","2015/11/18","3c2.A"
"1653","KU590365","KU590365,A/North","65,A/North","3c2"
"1654","KX413609","KX413609,A/Florida/96/2015,2015/12/07","2015/12/07","3c2.A"
"1655","KX412814","KX412814,A/New","2814,A/New","3c2.A"
"1656","KY044055","KY044055,A/Idaho/26/2015,2015/10/08","2015/10/08","3c2.A"
"1657","CY253818","CY253818,A/Sydney/98/2015,2015/09/01","2015/09/01","3c2.A"
"1658","CY253690","CY253690,A/Victoria/3071/2015,2015/09/07","2015/09/07","3c2.A"
"1659","CY253754","CY253754,A/Sydney/1022/2015,2015/08/20","2015/08/20","3c2.A"
"1660","KY090194","KY090194,A/Iowa/18/2015,2015/03/24","2015/03/24","3c2.A"
"1661","MH294869","MH294869,A/Ohio/6503/2017,2017/12/16","2017/12/16","A2/re"
"1662","MH294926","MH294926,A/Ohio/6560/2017,2017/12/26","2017/12/26","A2/re"
"1663","MH294867","MH294867,A/Ohio/6501/2017,2017/12/12","2017/12/12","A2/re"
"1664","MH294891","MH294891,A/Colorado/6525/2017,2017/12/15","2017/12/15","A2/re"
"1665","CY264910","CY264910,A/Ohio/53/2017,2017/12/14","2017/12/14","A2/re"
"1666","MH081859","MH081859,A/West","859,A/West","A2/re"
"1667","MH307224","MH307224,A/Oregon/17/2018,2018/02/14","2018/02/14","A2/re"
"1668","MH601826","MH601826,A/North","26,A/North","A2/re"
"1669","MH669563","MH669563,A/Alaska/43/2018,2018/05/09","2018/05/09","A2/re"
"1670","MH126385","MH126385,A/Alabama/14/2018,2018/02/03","2018/02/03","A2/re"
"1671","MH586292","MH586292,A/North","92,A/North","A2/re"
"1672","MG830968","MG830968,A/Delaware/47/2017,2017/12/19","2017/12/19","A2/re"
"1673","MH294925","MH294925,A/Ohio/6559/2017,2017/12/22","2017/12/22","A2/re"
"1674","MH294814","MH294814,A/Colorado/6448/2017,2017/12/11","2017/12/11","A2/re"
"1675","MH126681","MH126681,A/Georgia/08/2018,2018/01/21","2018/01/21","A2/re"
"1676","MH601210","MH601210,A/Alabama/30/2018,2018/02/13","2018/02/13","A2/re"
"1677","MH586348","MH586348,A/Oregon/06/2018,2018/01/19","2018/01/19","A2/re"
"1678","MH083040","MH083040,A/Washington/327/2017,2017/12/16","2017/12/16","A2/re"
"1679","MH358479","MH358479,A/Oklahoma/20/2018,2018/03/19","2018/03/19","A2/re"
"1680","MH600697","MH600697,A/Hawaii/30/2018,2018/03/07","2018/03/07","A2/re"
"1681","MH602146","MH602146,A/Virginia/37/2018,2018/02/10","2018/02/10","A2/re"
"1682","MH126316","MH126316,A/North","16,A/North","A2/re"
"1683","MH701364","MH701364,A/California/MAP4176A/2018,2018/01/17","2018/01/17","A2/re"
"1684","MH294766","MH294766,A/Texas/6419/2017,2017/08/30","2017/08/30","A2/re"
"1685","MH294829","MH294829,A/Florida/6463/2017,2017/12/19","2017/12/19","A2/re"
"1686","MH126569","MH126569,A/Colorado/09/2018,2018/01/29","2018/01/29","A2/re"
"1687","MH307303","MH307303,A/Vermont/13/2018,2018/03/12","2018/03/12","A2/re"
"1688","MH233551","MH233551,A/Vermont/08/2018,2018/02/05","2018/02/05","A2/re"
"1689","MH126657","MH126657,A/Florida/16/2018,2018/01/30","2018/01/30","A2/re"
"1690","MH131614","MH131614,A/North","14,A/North","A2/re"
"1691","MH358598","MH358598,A/Florida/45/2018,2018/03/29","2018/03/29","A2/re"
"1692","MH586164","MH586164,A/Mississippi/11/2018,2018/02/08","2018/02/08","A2/re"
"1693","MH358902","MH358902,A/Washington/71/2018,2018/03/12","2018/03/12","A2/re"
"1694","MH540901","MH540901,A/Missouri/45/2018,2018/04/11","2018/04/11","A2/re"
"1695","MH083148","MH083148,A/Wisconsin/358/2017,2017/12/31","2017/12/31","A2/re"
"1696","CY265213","CY265213,A/Nevada/33/2017,2017/12/22","2017/12/22","A2/re"
"1697","CY260010","CY260010,A/Wisconsin/334/2017,2017/11/02","2017/11/02","A2/re"
"1698","MH082436","MH082436,A/Massachusetts/02/2018,2018/01/16","2018/01/16","A2/re"
"1699","MH126785","MH126785,A/Indiana/06/2018,2018/01/27","2018/01/27","A2/re"
"1700","CY261447","CY261447,A/South","47,A/South","A2/re"
"1701","MH701044","MH701044,A/Bahrain/RVT0147/2018,2018/02/16","2018/02/16","A2/re"
"1702","MH701028","MH701028,A/Bahrain/RVT0142/2018,2018/02/05","2018/02/05","A2/re"
"1703","MH701020","MH701020,A/Bahrain/RVT0140/2018,2018/01/30","2018/01/30","A2/re"
"1704","CY265125","CY265125,A/Arizona/72/2017,2017/12/11","2017/12/11","A2/re"
"1705","MH082660","MH082660,A/New","2660,A/New","A2/re"
"1706","MH233399","MH233399,A/Florida/24/2018,2018/02/14","2018/02/14","A2/re"
"1707","MH306823","MH306823,A/Colorado/15/2018,2018/02/24","2018/02/24","A2/re"
"1708","MH600570","MH600570,A/North","70,A/North","A2/re"
"1709","MH233519","MH233519,A/Oregon/10/2018,2018/01/27","2018/01/27","A2/re"
"1710","CY264163","CY264163,A/South","63,A/South","A2/re"
"1711","MH601073","MH601073,A/Washington/90/2018,2018/03/31","2018/03/31","A2/re"
"1712","MH080027","MH080027,A/Indiana/04/2018,2018/01/17","2018/01/17","A2/re"
"1713","CY264806","CY264806,A/Minnesota/46/2017,2017/12/08","2017/12/08","A2/re"
"1714","MH601017","MH601017,A/Utah/30/2018,2018/04/21","2018/04/21","A2/re"
"1715","MH358790","MH358790,A/North","90,A/North","A2/re"
"1716","MH127337","MH127337,A/Virginia/08/2018,2018/01/31","2018/01/31","A2/re"
"1717","MH233559","MH233559,A/Vermont/09/2018,2018/02/20","2018/02/20","A2/re"
"1718","MH540869","MH540869,A/Maryland/36/2018,2018/03/02","2018/03/02","A2/re"
"1719","MH701556","MH701556,A/California/SEA0130/2018,2018/01/03","2018/01/03","A2/re"
"1720","MH701468","MH701468,A/California/QV528/2018,2018/01/07","2018/01/07","A2/re"
"1721","MH701356","MH701356,A/California/MAP4171A/2018,2018/01/12","2018/01/12","A2/re"
"1722","MH080251","MH080251,A/Washington/31/2018,2018/01/12","2018/01/12","A2/re"
"1723","MH586236","MH586236,A/New","6236,A/New","A2/re"
"1724","MH601539","MH601539,A/Illinois/42/2018,2018/02/21","2018/02/21","A2/re"
"1725","MH358526","MH358526,A/Arizona/23/2018,2018/03/15","2018/03/15","A2/re"
"1726","MH358646","MH358646,A/Illinois/22/2018,2018/03/18","2018/03/18","A2/re"
"1727","MH540925","MH540925,A/New","0925,A/New","A2/re"
"1728","MH082028","MH082028,A/California/162/2017,2017/12/25","2017/12/25","A2/re"
"1729","MH082011","MH082011,A/California/160/2017,2017/12/25","2017/12/25","A2/re"
"1730","MH082020","MH082020,A/California/161/2017,2017/12/25","2017/12/25","A2/re"
"1731","MG974586","MG974586,A/Michigan/309/2017,2017/12/22","2017/12/22","A2/re"
"1732","MH127364","MH127364,A/West","364,A/West","A2/re"
"1733","MH126953","MH126953,A/Minnesota/09/2018,2018/01/21","2018/01/21","A2/re"
"1734","MH358914","MH358914,A/Washington/74/2018,2018/03/18","2018/03/18","A2/re"
"1735","MG831066","MG831066,A/New","1066,A/New","A2/re"
"1736","MH246391","MH246391,A/Hawaii/18/2018,2018/02/08","2018/02/08","A2/re"
"1737","MH585830","MH585830,A/West","830,A/West","A2/re"
"1738","MH443580","MH443580,A/North","80,A/North","A2/re"
"1739","MH585900","MH585900,A/Connecticut/10/2018,2018/02/02","2018/02/02","A2/re"
"1740","CY264989","CY264989,A/Pennsylvania/274/2017,2017/12/15","2017/12/15","A2/re"
"1741","MH601938","MH601938,A/Pennsylvania/65/2018,2018/02/12","2018/02/12","A2/re"
"1742","MH601113","MH601113,A/West","113,A/West","A2/re"
"1743","MH127189","MH127189,A/Tennessee/05/2018,2018/01/26","2018/01/26","A2/re"
"1744","MH083011","MH083011,A/Virginia/01/2018,2018/01/17","2018/01/17","A2/re"
"1745","MH246887","MH246887,A/West","887,A/West","A2/re"
"1746","MH233567","MH233567,A/Vermont/10/2018,2018/02/21","2018/02/21","A2/re"
"1747","MH127313","MH127313,A/Vermont/05/2018,2018/01/25","2018/01/25","A2/re"
"1748","MH126529","MH126529,A/California/25/2018,2018/01/25","2018/01/25","A2/re"
"1749","MH126545","MH126545,A/California/27/2018,2018/01/25","2018/01/25","A2/re"
"1750","MH600721","MH600721,A/Hawaii/36/2018,2018/03/28","2018/03/28","A2/re"
"1751","MH126729","MH126729,A/Hawaii/10/2018,2018/01/24","2018/01/24","A2/re"
"1752","MH600953","MH600953,A/Pennsylvania/82/2018,2018/04/30","2018/04/30","A2/re"
"1753","MH600945","MH600945,A/Pennsylvania/81/2018,2018/04/28","2018/04/28","A2/re"
"1754","MH307151","MH307151,A/New","7151,A/New","A2/re"
"1755","MH586468","MH586468,A/Virginia/10/2018,2018/02/08","2018/02/08","A2/re"
"1756","MH600554","MH600554,A/Michigan/77/2018,2018/04/16","2018/04/16","A2/re"
"1757","MH602185","MH602185,A/Virginia/42/2018,2018/02/26","2018/02/26","A2/re"
"1758","MH306999","MH306999,A/Kentucky/18/2018,2018/03/05","2018/03/05","A2/re"
"1759","MH443684","MH443684,A/Virginia/13/2018,2018/01/16","2018/01/16","A2/re"
"1760","MG974410","MG974410,A/Georgia/30/2017,2017/12/13","2017/12/13","A2/re"
"1761","MH601233","MH601233,A/Alaska/23/2018,2018/01/22","2018/01/22","A2/re"
"1762","CY264267","CY264267,A/Rhode","67,A/Rhode","A2/re"
"1763","MH358774","MH358774,A/North","74,A/North","A2/re"
"1764","MH246423","MH246423,A/Hawaii/23/2018,2018/02/12","2018/02/12","A2/re"
"1765","MH127081","MH127081,A/North","81,A/North","A2/re"
"1766","MH246247","MH246247,A/Alaska/11/2018,2018/02/20","2018/02/20","A2/re"
"1767","MH126648","MH126648,A/Florida/15/2018,2018/01/30","2018/01/30","A2/re"
"1768","MH358742","MH358742,A/Montana/21/2018,2018/03/12","2018/03/12","A2/re"
"1769","MH233487","MH233487,A/North","87,A/North","A2/re"
"1770","MH600601","MH600601,A/Alaska/40/2018,2018/04/16","2018/04/16","A2/re"
"1771","MG914315","MG914315,A/California/NHRC_D9661/2017,2017/12/15","2017/12/15","A2/re"
"1772","MH294708","MH294708,A/Arizona/6361/2017,2017/10/31","2017/10/31","A2/re"
"1773","MH294835","MH294835,A/Hawaii/6469/2017,2017/12/13","2017/12/13","A2/re"
"1774","MH701084","MH701084,A/California/28426/2018,2018/03/27","2018/03/27","A2/re"
"1775","MH294749","MH294749,A/Maryland/6402/2017,2017/11/13","2017/11/13","A2/re"
"1776","MH700956","MH700956,A/California/BRD41925N/2018,2018/02/18","2018/02/18","A2/re"
"1777","MH701332","MH701332,A/California/MAP3091A/2018,2018/02/08","2018/02/08","A2/re"
"1778","MH294817","MH294817,A/Colorado/6451/2017,2017/12/12","2017/12/12","A2/re"
"1779","MH701540","MH701540,A/California/SAR41890N/2017,2017/12/27","2017/12/27","A2/re"
"1780","MH701076","MH701076,A/California/28373/2018,2018/01/30","2018/01/30","A2/re"
"1781","MH601033","MH601033,A/Vermont/22/2018,2018/04/25","2018/04/25","A2/re"
"1782","CY260034","CY260034,A/South","34,A/South","A2/re"
"1783","MH126801","MH126801,A/Kansas/04/2018,2018/01/24","2018/01/24","A2/re"
"1784","MH127385","MH127385,A/Wisconsin/53/2018,2018/01/30","2018/01/30","A2/re"
"1785","MH082840","MH082840,A/Rhode","40,A/Rhode","A2/re"
"1786","MH126704","MH126704,A/Hawaii/05/2018,2018/01/10","2018/01/10","A2/re"
"1787","MH082075","MH082075,A/Colorado/28/2017,2017/12/30","2017/12/30","A2/re"
"1788","MH126761","MH126761,A/Illinois/09/2018,2018/02/01","2018/02/01","A2/re"
"1789","MH602117","MH602117,A/Virginia/34/2018,2018/02/09","2018/02/09","A2/re"
"1790","CY265069","CY265069,A/Hawaii/61/2017,2017/11/27","2017/11/27","A2/re"
"1791","MH233527","MH233527,A/Oregon/11/2018,2018/02/01","2018/02/01","A2/re"
"1792","MH601738","MH601738,A/Missouri/30/2018,2018/01/23","2018/01/23","A2/re"
"1793","MH586044","MH586044,A/Louisiana/05/2018,2018/01/03","2018/01/03","A2/re"
"1794","MH126555","MH126555,A/California/29/2018,2018/01/31","2018/01/31","A2/re"
"1795","MH701276","MH701276,A/California/FDX22060/2018,2018/01/31","2018/01/31","A2/re"
"1796","MH246927","MH246927,A/Wyoming/12/2018,2018/02/21","2018/02/21","A2/re"
"1797","MH600609","MH600609,A/Colorado/27/2018,2018/04/15","2018/04/15","A2/re"
"1798","MH585908","MH585908,A/Connecticut/11/2018,2018/02/04","2018/02/04","A2/re"
"1799","MH307311","MH307311,A/Virginia/19/2018,2018/02/20","2018/02/20","A2/re"
"1800","MH246415","MH246415,A/Hawaii/22/2018,2018/02/11","2018/02/11","A2/re"
"1801","MH246375","MH246375,A/Hawaii/14/2018,2018/02/02","2018/02/02","A2/re"
"1802","MH701036","MH701036,A/Bahrain/RVT0145/2018,2018/02/10","2018/02/10","A2/re"
"1803","CY265077","CY265077,A/Hawaii/62/2017,2017/12/06","2017/12/06","A2/re"
"1804","MH082388","MH082388,A/Maine/04/2018,2018/01/13","2018/01/13","A2/re"
"1805","CY264497","CY264497,A/Idaho/40/2017,2017/12/03","2017/12/03","A2/re"
"1806","MH443644","MH443644,A/South","44,A/South","A2/re"
"1807","MH586300","MH586300,A/Ohio/09/2018,2018/02/06","2018/02/06","A2/re"
"1808","MH126721","MH126721,A/Hawaii/09/2018,2018/01/20","2018/01/20","A2/re"
"1809","MH586156","MH586156,A/Mississippi/10/2018,2018/02/06","2018/02/06","A2/re"
"1810","MH602108","MH602108,A/Virginia/32/2018,2018/01/29","2018/01/29","A2/re"
"1811","MH131486","MH131486,A/Iowa/68/2017,2017/11/18","2017/11/18","A2/re"
"1812","MH669747","MH669747,A/New","9747,A/New","A2/re"
"1813","MH601041","MH601041,A/Virginia/44/2018,2018/04/10","2018/04/10","A2/re"
"1814","MH126857","MH126857,A/Maine/07/2018,2018/01/25","2018/01/25","A2/re"
"1815","CY264315","CY264315,A/Hawaii/58/2017,2017/11/25","2017/11/25","A2/re"
"1816","MH600769","MH600769,A/Iowa/52/2018,2018/04/16","2018/04/16","A2/re"
"1817","MH601649","MH601649,A/Iowa/40/2018,2018/02/19","2018/02/19","A2/re"
"1818","MH131438","MH131438,A/Iowa/62/2017,2017/11/07","2017/11/07","A2/re"
"1819","MH601625","MH601625,A/Iowa/37/2018,2018/02/08","2018/02/08","A2/re"
"1820","CY261543","CY261543,A/Nevada/26/2017,2017/11/22","2017/11/22","A2/re"
"1821","MH126377","MH126377,A/Alabama/13/2018,2018/02/01","2018/02/01","A2/re"
"1822","MH246751","MH246751,A/Tennessee/15/2018,2018/02/22","2018/02/22","A2/re"
"1823","MH358755","MH358755,A/New","8755,A/New","A2/re"
"1824","MH586068","MH586068,A/Maine/11/2018,2018/02/12","2018/02/12","A2/re"
"1825","MH443652","MH443652,A/South","52,A/South","A2/re"
"1826","MH306863","MH306863,A/Florida/37/2018,2018/03/07","2018/03/07","A2/re"
"1827","MH079979","MH079979,A/Hawaii/64/2017,2017/12/24","2017/12/24","A2/re"
"1828","MG830905","MG830905,A/California/157/2017,2017/12/26","2017/12/26","A2/re"
"1829","MG830921","MG830921,A/California/159/2017,2017/12/26","2017/12/26","A2/re"
"1830","MG830914","MG830914,A/California/158/2017,2017/12/26","2017/12/26","A2/re"
"1831","MG830898","MG830898,A/California/156/2017,2017/12/26","2017/12/26","A2/re"
"1832","MH126888","MH126888,A/Maryland/06/2018,2018/01/23","2018/01/23","A2/re"
"1833","MH669421","MH669421,A/Kentucky/03/2018,2018/01/09","2018/01/09","A2/re"
"1834","MH669798","MH669798,A/Wisconsin/04/2018,2018/01/02","2018/01/02","A2/re"
"1835","MH294876","MH294876,A/South","76,A/South","A2/re"
"1836","MH294894","MH294894,A/Florida/6528/2017,2017/12/13","2017/12/13","A2/re"
"1837","MH586276","MH586276,A/New","6276,A/New","A2/re"
"1838","MH669766","MH669766,A/Rhode","66,A/Rhode","A2/re"
"1839","MH082628","MH082628,A/New","2628,A/New","A2/re"
"1840","MH358465","MH358465,A/Iowa/24/2018,2018/03/15","2018/03/15","A2/re"
"1841","MH585892","MH585892,A/California/38/2018,2018/02/09","2018/02/09","A2/re"
"1842","MH306811","MH306811,A/California/38/2018,2018/02/09","2018/02/09","A2/re"
"1843","MH082052","MH082052,A/California/166/2017,2017/12/29","2017/12/29","A2/re"
"1844","MH081924","MH081924,A/Alaska/81/2017,2017/12/23","2017/12/23","A2/re"
"1845","MH246591","MH246591,A/Minnesota/19/2018,2018/02/23","2018/02/23","A2/re"
"1846","MH131358","MH131358,A/Illinois/62/2017,2017/12/27","2017/12/27","A2/re"
"1847","MH233366","MH233366,A/Arizona/06/2018,2018/01/18","2018/01/18","A2/re"
"1848","MH358558","MH358558,A/Connecticut/22/2018,2018/03/09","2018/03/09","A2/re"
"1849","MH602106","MH602106,A/Virginia/31/2018,2018/01/29","2018/01/29","A2/re"
"1850","MH358734","MH358734,A/Missouri/23/2018,2018/03/11","2018/03/11","A2/re"
"1851","MH082404","MH082404,A/Maryland/04/2018,2018/01/14","2018/01/14","A2/re"
"1852","MH246839","MH246839,A/Utah/13/2018,2018/02/02","2018/02/02","A2/re"
"1853","MH081940","MH081940,A/Arizona/76/2017,2017/12/22","2017/12/22","A2/re"
"1854","MH079963","MH079963,A/Hawaii/02/2018,2018/01/02","2018/01/02","A2/re"
"1855","MH600668","MH600668,A/Florida/53/2018,2018/04/10","2018/04/10","A2/re"
"1856","MH600817","MH600817,A/Maryland/40/2018,2018/03/22","2018/03/22","A2/re"
"1857","MH080107","MH080107,A/Nebraska/03/2018,2018/01/16","2018/01/16","A2/re"
"1858","MH701412","MH701412,A/California/QV1021/2018,2018/01/13","2018/01/13","A2/re"
"1859","MH233546","MH233546,A/Vermont/07/2018,2018/02/04","2018/02/04","A2/re"
"1860","MH080139","MH080139,A/North","39,A/North","A2/re"
"1861","MH540797","MH540797,A/District","A/District","A2/re"
"1862","MH540933","MH540933,A/New","0933,A/New","A2/re"
"1863","MH127049","MH127049,A/New","7049,A/New","A2/re"
"1864","MH233479","MH233479,A/New","3479,A/New","A2/re"
"1865","MH601182","MH601182,A/Alabama/26/2018,2018/02/09","2018/02/09","A2/re"
"1866","MH540913","MH540913,A/New","0913,A/New","A2/re"
"1867","MH358614","MH358614,A/Georgia/22/2018,2018/03/11","2018/03/11","A2/re"
"1868","MH233495","MH233495,A/North","95,A/North","A2/re"
"1869","CY264997","CY264997,A/Indiana/33/2017,2017/12/11","2017/12/11","A2/re"
"1870","MH082668","MH082668,A/New","2668,A/New","A2/re"
"1871","MH601977","MH601977,A/Pennsylvania/71/2018,2018/02/26","2018/02/26","A2/re"
