"","D_Lab","Date"
"11588","KP941741","2014/12/04"
"11586","KP941739","2014/12/03"
"11587","KP941740","2014/12/04"
"11565","KP941719","2014/06/02"
"11566","KP941722","2014/07/24"
"11581","KP941726","2014/09/18"
"11585","KP941736","2014/11/19"
"11621","KP941729","2014/09/10"
"11562","KU144591","2014/04/01"
"11574","KP941713","2014/05/06"
"9048","KM409054","2013/12/16"
"11236","CY187332","2013/12/27"
"11617","KP941705","2014/02/24"
"11136","KT274366","2014/01/04"
"998","KJ396006","2014/01/08"
"1010","KP864390","2014/01/15"
"1013","KP864391","2014/01/16"
"477","CY163484","2013/12/04"
"1497","KJ889258","2014/01/29"
"11229","CY163508","2013/12/13"
"10583","CY187316","2013/12/19"
"8971","KP864400","2014/01/18"
"8980","KP864408","2014/01/30"
"8987","KP864412","2014/02/20"
"6361","CY163465","2013/09/30"
"7816","CY189057","2014/01/06"
"163","KT274486","2013/11/22"
"136","KT274322","2013/10/14"
"7806","CY188977","2013/12/24"
"3091","CY163467","2013/11/05"
"6895","KM409193","2014/04/02"
"10536","KM409232","2014/01/06"
"7999","KM409199","2014/01/03"
"8056","KM409048","2013/11/25"
"8050","KM409003","2013/11/17"
"8304","CY187721","2014/03/26"
"3056","KT274276","2014/04/02"
"8020","KM409244","2014/02/01"
"8084","CY187297","2013/12/26"
"12262","KJ889280","2014/01/23"
"3916","KM366575","2012/12/20"
"1486","KJ635910","2013/12/23"
"7922","CY188073","2013/11/17"
"12893","KR611217","2014/01/01"
"4302","CY187248","2013/12/16"
"6393","KT274408","2014/01/13"
"3435","KJ538534","2013/11/27"
"1263","CY187215","2014/01/16"
"4303","CY187249","2013/12/16"
"8038","KM409268","2014/01/09"
"3716","KM409154","2014/02/03"
"4571","KF648044","2013/07/03"
"4481","KF280743","2013/02/15"
"8546","KJ406380","2013/12/06"
"4508","KR052610","2014/01/18"
"8645","KP067760","2014/04/23"
"12551","KF648221","2013/05/24"
"11901","KT274226","2013/10/06"
"9207","KP019920","2014/01/15"
"1767","KP067765","2014/03/08"
"1766","KP067768","2014/03/30"
"3298","KP019915","2013/12/14"
"13107","MG982591","2014/02/05"
"12975","KP019910","2013/11/19"
"5350","KP019931","2014/06/10"
"13104","MG982594","2014/01/25"
"13128","MG982596","2014/01/27"
"13127","MG982595","2014/02/03"
"13105","MG982593","2014/02/06"
"13106","MG982592","2014/02/06"
"12979","KP019918","2014/01/08"
"13059","KP019923","2014/02/17"
"6757","KP019926","2014/03/11"
"11573","KP941709","2014/04/30"
"5267","CY187692","2014/02/09"
"5264","CY187687","2014/01/21"
"4906","KP144971","2013/03/28"
"4910","KP144975","2013/04/08"
"5268","CY187703","2014/03/13"
"6766","KP019927","2014/04/03"
"5352","KP019919","2014/01/09"
"5349","KP019930","2014/04/09"
"12976","KP019908","2013/11/14"
"3527","CY187656","2014/02/28"
"3526","CY187655","2014/02/27"
"5351","KP019922","2014/02/10"
"1022","KP864371","2014/02/12"
"6754","KP019921","2014/02/08"
"3273","KP019913","2013/12/11"
"8936","KP019925","2014/03/10"
"11579","KP941723","2014/07/23"
"11676","KJ889262","2014/02/12"
"11615","KP941702","2014/02/04"
"1020","KP864378","2014/02/11"
"8888","KP019917","2013/12/22"
"5348","KP019911","2013/11/26"
"12970","KP019929","2014/04/07"
"4888","KP144943","2014/01/20"
"3497","KY328750","2014/01/25"
"4821","CY187669","2014/01/17"
"9651","KM607860","2014/01/10"
"13056","KP019928","2014/04/05"
"5265","CY187688","2014/01/28"
"4909","KP144974","2013/12/30"
"126","KM409104","2014/02/01"
"13116","MG982597","2014/02/05"
"2064","KJ561714","2014/01/16"
"1031","KJ396001","2013/12/28"
"7862","CY189497","2014/03/28"
"11563","KU144590","2014/02/12"
"4482","KF280751","2013/02/18"
"9264","KJ942903","2013/07/09"
"7845","CY189345","2014/02/10"
"2884","KM437714","2014/01/22"
"11641","KP941708","2014/03/20"
"9386","MK246094","2014/05/05"
"6006","KR271599","2014/01/19"
"1255","CY187205","2013/12/31"
"11245","CY187350","2013/12/16"
"1247","CY163482","2013/12/04"
"11246","CY187352","2013/12/17"
"4506","KR052553","2013/07/29"
"3196","KT274583","2013/11/12"
"1491","KJ635912","2013/12/23"
"10611","KJ889254","2013/12/27"
"6931","CY187288","2013/12/17"
"3097","CY163490","2013/12/04"
"90","CY187636","2014/03/19"
"170","CY187195","2013/12/25"
"1215","KF648169","2013/08/08"
"9415","MK246056","2015/03/19"
"4517","KR052631","2015/02/03"
"9366","MK246070","2015/04/01"
"9411","MK246050","2015/03/03"
"3357","KY044584","2015/12/19"
"3358","KX005154","2015/12/19"
"7012","KX408227","2016/01/02"
"8959","MF195590","2016/02/09"
"4405","KT867222","2015/03/18"
"4402","KT867223","2015/03/08"
"4400","KT867221","2015/03/07"
"4404","KT867220","2015/03/15"
"4518","KR052630","2015/02/20"
"6277","CY243774","2017/07/27"
"12346","KT836759","2015/03/01"
"761","MF535115","2015/02/09"
"500","MF564205","2016/06/24"
"501","MF564208","2016/07/13"
"499","MF564213","2016/06/06"
"498","MF564209","2016/03/16"
"10870","KY487602","2016/01/25"
"4485","MF319594","2016/02/15"
"4675","CY231194","2017/04/02"
"12379","CY233888","2017/03/24"
"4487","MF319596","2016/03/13"
"5147","KY872760","2016/08/10"
"5150","KY872761","2016/10/02"
"9776","KY284530","2015/12/16"
"5318","KY950124","2015/11/06"
"5326","KY950223","2016/01/11"
"5030","KY487499","2016/01/18"
"13028","MG230431","2015/11/23"
"13024","MG230350","2015/11/17"
"6368","CY208207","2016/01/22"
"1301","CY208290","2016/02/22"
"4965","KX407475","2016/02/17"
"3035","KX406331","2016/01/29"
"11253","KX409387","2016/02/09"
"8047","KX407451","2016/02/19"
"12874","KY045365","2016/09/15"
"12875","KY045382","2016/09/21"
"12877","KY045398","2016/09/23"
"9642","MG982611","2017/03/07"
"4496","MF319587","2017/02/15"
"6089","KY045403","2016/09/07"
"5336","KY950100","2016/11/17"
"12297","CY218078","2017/01/06"
"4163","CY218889","2017/01/15"
"13099","MG982615","2017/04/01"
"11040","KX408195","2015/12/11"
"11039","KX004493","2015/12/11"
"2056","KX014861","2016/02/01"
"66","KU589370","2015/12/02"
"4292","KX408923","2015/12/04"
"8748","KU589386","2015/11/22"
"12053","KX410763","2016/03/20"
"5823","KX407307","2016/02/21"
"5881","CY208445","2016/02/29"
"5856","KX915084","2016/03/29"
"8754","KU589402","2015/12/02"
"3306","KU758923","2016/01/29"
"5819","KX406315","2016/02/04"
"3308","KU762414","2016/01/31"
"1105","KX406171","2016/01/16"
"8171","KX409603","2016/03/05"
"1008","KU821082","2016/01/18"
"12040","KX406691","2016/02/04"
"4828","CY208149","2016/01/16"
"10693","CY210114","2016/02/17"
"4829","CY208206","2016/02/03"
"4834","CY210019","2016/03/01"
"4831","CY208246","2016/02/10"
"1833","KY509807","2016/01/04"
"10685","CY210102","2016/02/09"
"10689","CY210106","2016/02/16"
"10705","CY210129","2016/02/24"
"10683","CY208177","2016/01/28"
"10701","CY210124","2016/02/22"
"10706","CY210130","2016/02/25"
"9635","KY509992","2016/03/08"
"10697","CY210118","2016/02/18"
"1006","KU821081","2016/01/18"
"642","KY487190","2016/03/05"
"4277","KX411115","2016/03/06"
"11983","CY208386","2016/02/23"
"8263","KX408507","2016/02/02"
"5678","KX406939","2016/01/19"
"8257","KX408491","2016/01/30"
"635","KY950052","2016/02/14"
"6013","MF593493","2016/03/01"
"7585","CY210043","2016/03/13"
"12383","KX410203","2016/03/08"
"43","KY044687","2016/01/11"
"44","KX005849","2016/01/11"
"5130","CY208437","2016/03/03"
"12023","KY925365","2016/04/09"
"1086","KX406155","2016/01/01"
"8309","CY208170","2016/01/28"
"12510","KU589362","2015/11/26"
"8750","KU589394","2015/11/28"
"5729","KX004445","2015/12/16"
"5698","KX408803","2016/02/24"
"6988","KY003341","2016/08/31"
"4490","MF319591","2016/03/18"
"2097","KU558983","2015/10/26"
"375","KX004619","2015/12/01"
"5847","KT865658","2015/08/29"
"5848","KU509566","2015/08/29"
"4491","MF319598","2016/03/24"
"3867","KX004970","2015/12/31"
"6166","KU933493","2015/09/07"
"6169","MK622940","2015/09/07"
"6168","KY117023","2015/09/07"
"6167","KY090610","2015/09/07"
"6165","KU509703","2015/09/07"
"2871","KX097041","2016/01/09"
"9775","KY930509","2015/12/28"
"5232","KU504697","2015/11/27"
"5669","MG230410","2016/01/15"
"5672","MG230433","2016/01/16"
"9391","MK246025","2015/10/31"
"5653","MG230348","2015/11/17"
"13026","MG230360","2015/11/22"
"5655","MG230359","2015/11/22"
"5665","MG230401","2016/01/05"
"13025","MG230353","2015/11/22"
"7607","KX417062","2015/08/06"
"7610","KX417073","2015/08/06"
"3305","KU758919","2016/01/20"
"7609","KU509641","2015/08/06"
"7608","KT836661","2015/08/06"
"370","KX918596","2016/02/07"
"12421","KX915692","2016/04/02"
"6926","KX411283","2016/03/24"
"2136","KX406715","2016/02/16"
"2129","KX406243","2016/01/25"
"11964","KX916068","2016/05/23"
"9402","MK246039","2015/12/02"
"1991","KX407987","2016/03/01"
"3051","KX406635","2016/02/06"
"101","CY208333","2016/03/07"
"4278","KU509617","2015/11/16"
"13038","MG230400","2016/01/05"
"2091","KX254947","2016/03/03"
"9210","KX214550","2015/12/31"
"12985","KY273042","2016/02/22"
"5252","KX097040","2016/01/08"
"647","KY615604","2016/03/19"
"2335","KY487123","2016/03/08"
"6097","KX918548","2016/01/21"
"3393","KX409507","2016/03/04"
"8746","KX410811","2016/03/15"
"10566","KY045240","2016/03/27"
"6103","KX918556","2016/01/30"
"3408","KX919324","2016/04/21"
"8587","KX410531","2016/03/27"
"1389","KX411259","2016/03/07"
"1500","KX523709","2016/02/19"
"97","CY208227","2016/02/11"
"7193","KX408131","2015/12/27"
"5864","KX004563","2015/12/08"
"5470","KX409107","2016/02/03"
"12044","KX407171","2016/02/22"
"5475","KX409123","2016/02/02"
"5469","KY044724","2016/02/03"
"7007","KX004396","2015/12/03"
"7008","KX004404","2015/12/03"
"7010","KX004351","2015/12/04"
"7009","KX004416","2015/12/04"
"11985","CY208389","2016/03/01"
"5858","KU509590","2015/11/26"
"6092","KX918508","2016/01/25"
"6115","KX406819","2016/02/03"
"6195","KX004300","2015/12/16"
"4317","CY208354","2016/03/03"
"11979","CY208262","2016/02/16"
"6183","KX410707","2016/03/04"
"6176","KX918884","2016/03/31"
"6175","KY044840","2016/03/31"
"6144","KX408819","2016/02/28"
"6191","KY044921","2015/12/14"
"3342","KX408539","2016/01/19"
"6184","KX410715","2016/03/10"
"6095","KX918540","2016/02/08"
"6171","KX407907","2016/02/26"
"6198","KX004316","2015/12/11"
"6170","KX407891","2016/02/15"
"7629","KX916052","2016/03/28"
"7711","CY259439","2016/04/06"
"6114","KY045060","2016/02/03"
"1995","KX918860","2016/04/06"
"5103","KX915628","2016/04/17"
"1992","KX407995","2016/03/03"
"2015","KX915868","2016/04/02"
"1974","KX004233","2015/12/14"
"102","CY208334","2016/03/04"
"6187","KX411395","2016/03/14"
"634","KY950126","2016/01/16"
"7201","KX915772","2016/04/18"
"1017","KU821086","2016/01/27"
"383","KX406075","2015/12/10"
"2134","KX406707","2016/02/12"
"3155","KY045320","2016/04/22"
"3156","KX915652","2016/04/22"
"11199","KX406867","2016/02/07"
"11198","KY045074","2016/02/07"
"5128","CY208359","2016/02/26"
"11014","KY044755","2016/02/24"
"6939","CY208448","2016/03/09"
"12398","CY208265","2016/02/19"
"7085","CY210035","2016/03/15"
"4338","KX523722","2016/03/07"
"402","CY208341","2016/03/01"
"7573","CY208458","2016/02/26"
"12394","CY208156","2016/01/16"
"5129","CY208435","2016/02/25"
"10667","CY208318","2016/02/16"
"7727","CY259671","2016/02/29"
"8147","KX005769","2016/01/19"
"8148","KX409003","2016/01/19"
"6488","KX407675","2016/02/21"
"386","KX406091","2015/12/22"
"12225","KX919356","2016/05/12"
"4645","KX410651","2016/03/20"
"1169","CY218905","2017/01/23"
"6373","CY208306","2016/02/18"
"1503","KX523712","2016/03/10"
"12966","CY210066","2016/03/14"
"6936","CY208134","2015/12/08"
"1032","KU821079","2015/12/29"
"1120","KX915788","2016/04/09"
"416","KX919412","2016/05/04"
"7740","CY259855","2016/03/31"
"4546","CY217089","2017/01/02"
"5372","CY221566","2017/01/28"
"11927","CY236166","2017/04/17"
"6033","MF593583","2017/01/18"
"1229","CY223469","2017/01/13"
"11277","CY221574","2017/02/06"
"9052","CY225814","2017/02/21"
"11488","CY239489","2017/02/09"
"11210","CY220855","2017/01/26"
"11463","CY238314","2017/02/02"
"6021","MF593530","2017/02/10"
"1988","CY229117","2017/03/20"
"6015","MF593517","2016/02/28"
"7154","CY231276","2017/02/23"
"11434","CY238306","2017/01/25"
"1311","CY236182","2017/03/07"
"6032","MF593575","2017/01/17"
"6933","KX004217","2015/12/17"
"366","KX004723","2015/12/29"
"11877","KX005865","2016/01/02"
"404","CY208422","2016/03/08"
"103","CY208418","2016/02/26"
"11980","CY208263","2016/02/16"
"364","KX004715","2015/12/29"
"1325","KX407507","2016/02/28"
"6104","KX406499","2016/01/05"
"1221","KX006269","2016/01/08"
"4618","KX411851","2016/04/15"
"12405","CY209793","2016/02/19"
"11042","KX915276","2016/04/19"
"10663","KX005250","2015/12/20"
"10562","KX409651","2016/02/24"
"12432","KX411715","2016/04/15"
"5771","CY208363","2016/03/04"
"11981","CY208322","2016/02/17"
"7179","KX914996","2016/02/28"
"11017","KX409275","2016/02/26"
"11016","KX409267","2016/02/26"
"5125","CY208300","2016/02/16"
"5839","KX919108","2016/02/22"
"12399","CY208392","2016/02/20"
"12047","KX410123","2016/03/08"
"1499","KX523704","2016/03/01"
"1158","KX004627","2015/12/09"
"62","KX411307","2016/04/05"
"1134","KX004273","2015/12/02"
"6086","KX408091","2016/01/19"
"6085","KX004842","2016/01/19"
"8377","CY218865","2017/01/09"
"8399","CY209536","2016/11/07"
"12412","CY234946","2016/12/01"
"1191","CY213442","2016/12/07"
"3245","CY211146","2016/11/26"
"8396","CY209528","2016/10/18"
"1975","CY224166","2017/01/21"
"5967","MF593612","2017/01/27"
"5968","MF593620","2017/01/30"
"6016","MF593525","2016/03/16"
"5708","CY223333","2017/01/31"
"11218","CY220783","2017/02/01"
"1279","CY225750","2017/02/10"
"1317","CY236198","2017/03/29"
"11935","KX411539","2016/04/10"
"10641","KX411667","2016/03/29"
"10643","KX411675","2016/04/03"
"8116","CY210046","2016/03/23"
"10653","CY209472","2016/10/24"
"362","KX004651","2015/12/31"
"3718","KX004978","2016/01/12"
"341","KX406443","2016/01/23"
"6877","KX005586","2016/01/25"
"6371","CY208304","2016/02/22"
"12965","CY210064","2016/03/08"
"1303","CY208424","2016/02/26"
"11134","KX919036","2016/03/09"
"4988","KX410475","2016/03/15"
"6908","KX407243","2016/02/11"
"6902","KX406531","2016/02/04"
"6887","KX408411","2016/01/24"
"12919","KX005330","2016/01/14"
"1274","KX406907","2016/02/13"
"3110","KX410099","2016/03/17"
"99","CY208229","2016/02/22"
"6920","KX409331","2016/03/18"
"4561","KX005721","2016/01/24"
"8612","KX005010","2015/12/28"
"6408","KX409179","2016/02/11"
"7271","KX408547","2016/02/03"
"7313","KX407323","2016/02/14"
"7472","KX410371","2016/03/05"
"414","KY045310","2016/04/23"
"7466","KX410363","2016/03/08"
"12056","KX411579","2016/04/13"
"7717","CY259535","2016/03/15"
"12054","KX411587","2016/04/05"
"3130","CY208430","2016/03/06"
"5384","KX411435","2016/03/29"
"1343","KX409851","2016/02/18"
"12194","KX409291","2016/03/27"
"4187","KX410043","2016/03/04"
"397","CY208287","2016/02/17"
"1374","KX409971","2016/02/16"
"5850","KX919140","2016/03/14"
"3085","KY045166","2016/02/25"
"11462","KX409395","2016/02/19"
"11424","KX006277","2015/12/31"
"11988","CY208471","2016/03/01"
"11260","KX407587","2016/02/22"
"4969","KX918468","2016/03/24"
"7191","KX408123","2015/12/12"
"3396","KX409515","2016/03/09"
"7710","CY259431","2016/03/05"
"3077","KX407795","2016/02/23"
"4306","KX411227","2016/02/15"
"373","KX004746","2015/12/07"
"11023","KX409283","2016/03/04"
"106","CY209844","2016/03/24"
"5500","KX411499","2016/04/14"
"4667","KX411755","2016/04/20"
"6328","KX409195","2016/02/16"
"12349","KX406587","2016/01/16"
"480","CY210006","2016/03/11"
"7733","CY259751","2016/02/23"
"6891","KX409035","2016/02/09"
"5499","KX410683","2016/03/31"
"7030","KX407955","2016/03/03"
"11147","KX915140","2016/04/11"
"2156","KX410491","2016/03/28"
"2018","KX915852","2016/04/13"
"8722","KX918644","2016/02/17"
"1283","KX407371","2016/02/08"
"8761","KX005370","2015/12/22"
"7587","CY210101","2016/03/23"
"7206","CY210039","2016/03/11"
"4835","CY210097","2016/03/23"
"7084","CY210033","2016/03/14"
"7080","CY209862","2016/03/21"
"7204","CY208454","2016/02/25"
"2160","KX411331","2016/04/08"
"7020","KX408643","2016/01/14"
"1232","KX406491","2016/01/19"
"12381","KX409771","2016/03/07"
"6885","KX408163","2016/01/27"
"12199","KX005130","2015/12/21"
"4566","KX005122","2016/01/23"
"7718","CY259543","2016/03/22"
"1370","KX409955","2016/02/17"
"3816","KX915980","2016/03/30"
"3866","KX004962","2015/12/30"
"11022","KY044761","2016/02/29"
"7713","CY258913","2016/03/11"
"12365","KX407355","2016/02/05"
"7736","CY259783","2016/03/12"
"8062","KX409299","2016/02/18"
"4991","KX410483","2016/03/21"
"5133","CY208443","2016/03/02"
"8717","KX918428","2016/02/25"
"7723","CY259615","2016/02/15"
"7147","KX407723","2016/02/19"
"7175","KX410019","2016/02/18"
"7156","KX409875","2016/02/01"
"6307","KX405979","2015/12/29"
"6215","KX005354","2016/01/25"
"7732","CY259735","2016/03/16"
"461","KX411275","2016/03/14"
"8155","KX006237","2016/02/05"
"1372","KX409963","2016/02/18"
"8386","KX410963","2016/03/02"
"11947","KX915572","2016/04/22"
"1145","KX004595","2015/12/28"
"1308","CY209769","2016/03/07"
"1356","KX409939","2016/02/09"
"4268","KX411083","2016/03/21"
"11180","KX409139","2016/02/11"
"8803","KY003250","2016/04/22"
"2200","CY208202","2016/02/05"
"3868","KY289651","2016/09/29"
"3852","KY116830","2016/09/12"
"3869","CY209464","2016/10/07"
"360","KX408795","2016/02/19"
"1108","KX915116","2016/03/11"
"11929","KX410699","2016/03/28"
"330","KX406403","2016/01/19"
"4290","KX005162","2015/12/27"
"318","KX006034","2016/01/15"
"12378","KX408011","2016/02/27"
"12403","CY208474","2016/03/08"
"7199","KX915380","2016/04/09"
"7160","KX914980","2016/03/02"
"7202","KX915780","2016/04/18"
"313","KX408395","2016/01/22"
"11006","KX409251","2016/03/04"
"11159","KX919372","2016/02/18"
"11192","KX406843","2016/02/02"
"11197","KX406851","2016/02/13"
"10631","KX407115","2016/02/15"
"334","KX406411","2016/01/25"
"408","KX915204","2016/03/15"
"8425","CY208382","2016/03/04"
"10589","CY208385","2016/03/04"
"400","CY208336","2016/02/18"
"395","CY208235","2016/02/18"
"298","KX918444","2016/01/19"
"11358","KX409723","2016/02/16"
"8172","KX409611","2016/03/07"
"3023","KX004603","2015/12/29"
"4976","KX408731","2016/03/22"
"371","KX004739","2015/12/07"
"1851","KX006018","2016/01/10"
"7720","CY259567","2016/01/23"
"8426","CY208383","2016/03/08"
"11905","KX409243","2016/02/20"
"12178","KX919548","2016/02/09"
"12152","KX005833","2016/01/11"
"127","KX406251","2016/01/18"
"143","KY044774","2016/02/15"
"6870","KX005434","2016/01/05"
"6896","KX406515","2016/01/26"
"3770","KX409491","2016/03/06"
"12926","KX407003","2016/02/10"
"3788","KX410795","2016/03/04"
"11137","KX919052","2016/03/08"
"12061","KX915724","2016/04/22"
"12362","KX407339","2016/02/25"
"12344","KX408699","2016/02/08"
"6472","KX406747","2016/02/01"
"11105","KX006026","2016/01/16"
"11360","KX409731","2016/02/18"
"12384","KX410211","2016/03/11"
"1504","KX523718","2016/04/01"
"6491","KX407683","2016/02/24"
"9061","KX409675","2016/03/03"
"7141","KX407715","2016/02/24"
"12051","KX410755","2016/03/17"
"6932","KX004587","2015/12/15"
"1228","KX406483","2016/01/20"
"7562","CY208372","2016/03/03"
"11139","KX919068","2016/02/21"
"10669","CY208320","2016/02/23"
"5882","CY208446","2016/03/08"
"12395","CY208181","2016/01/25"
"11482","KX409411","2016/02/27"
"5132","CY208442","2016/03/08"
"5491","KX407627","2016/03/06"
"5854","KX915020","2016/03/18"
"12932","KX410139","2016/03/03"
"12939","KX410915","2016/03/21"
"398","KX915076","2016/03/09"
"2203","CY208347","2016/02/25"
"12556","KX005235","2016/01/08"
"8749","KX918764","2016/02/13"
"1908","KX005026","2015/12/22"
"149","KX915604","2016/04/23"
"637","KY950108","2016/02/23"
"649","KY487575","2016/03/23"
"641","KY615388","2016/03/04"
"7625","KX915460","2016/03/08"
"7728","CY259679","2016/03/29"
"1867","KX406595","2016/01/26"
"7255","KX005661","2016/01/17"
"7714","CY259479","2016/01/17"
"7584","CY210042","2016/03/13"
"8113","CY208463","2016/02/29"
"2205","CY208349","2016/03/04"
"7575","CY208460","2016/03/02"
"4955","KX408179","2016/02/08"
"7491","KX410595","2016/03/08"
"8698","KX406611","2016/01/13"
"8755","KX918796","2016/02/23"
"8762","KX918812","2016/02/25"
"5724","KX919460","2016/03/16"
"7725","CY259647","2016/03/23"
"7715","CY259495","2016/02/15"
"7708","CY259415","2016/03/21"
"10565","KX410571","2016/03/27"
"8110","KY044882","2016/06/23"
"650","KY487453","2016/03/23"
"3064","KX407035","2016/02/19"
"396","CY208237","2016/02/19"
"3360","KX408627","2016/02/09"
"3399","KX919164","2016/02/22"
"3400","KX919172","2016/02/22"
"5707","KX407979","2016/02/15"
"12158","KX408451","2016/02/03"
"12174","KX408779","2016/02/10"
"4607","KX004501","2015/12/14"
"1898","KX410939","2016/03/19"
"4670","KX411883","2016/04/21"
"1891","KX410187","2016/03/10"
"9068","KX409699","2016/03/08"
"6519","KX915428","2016/04/02"
"2166","KX915300","2016/04/21"
"9066","KX409691","2016/03/07"
"9074","KX915556","2016/04/19"
"6913","KX407539","2016/02/24"
"5110","KX915956","2016/04/26"
"5509","KX915348","2016/04/27"
"1313","CY210008","2016/03/02"
"6937","CY208136","2015/12/07"
"5064","KX914916","2016/02/21"
"4587","KX407139","2016/02/09"
"5090","KX411627","2016/03/20"
"6477","KX406763","2016/02/03"
"11027","KX407179","2016/02/11"
"12315","KX406147","2016/01/20"
"5812","KX406299","2016/01/24"
"11874","KX004898","2016/01/05"
"6781","KX005274","2016/01/07"
"6921","KX410059","2016/03/08"
"10546","KX005873","2016/01/25"
"7535","KX410851","2016/03/16"
"7552","KX410859","2016/03/14"
"10647","KX411691","2016/04/13"
"7078","CY208453","2016/03/09"
"7611","KY045262","2016/04/08"
"7484","KX410387","2016/03/14"
"7719","CY259551","2016/03/14"
"1509","KX523731","2016/04/22"
"94","CY208195","2016/02/03"
"7076","CY208367","2016/03/04"
"2125","KX406235","2016/01/24"
"7559","KX410867","2016/03/15"
"7511","KX410835","2016/03/10"
"6415","KX410723","2016/03/23"
"12042","KX406699","2016/02/09"
"8741","KX410155","2016/03/17"
"2148","KX409819","2016/03/14"
"3185","KX919492","2016/07/20"
"3179","KX919484","2016/07/12"
"7716","CY259503","2016/03/07"
"1140","KX919284","2016/06/16"
"1932","CY209852","2016/03/22"
"1933","CY210010","2016/03/04"
"1931","CY208428","2016/03/03"
"5770","CY208362","2016/03/04"
"7735","CY259767","2016/03/14"
"2169","KX915756","2016/05/03"
"7622","KX411443","2016/04/13"
"7739","CY259807","2016/03/22"
"5131","CY208438","2016/03/03"
"8286","KX410667","2016/03/30"
"5001","KX411723","2016/04/08"
"5725","KX919468","2016/03/22"
"8109","KX916028","2016/05/12"
"7525","KX410843","2016/03/16"
"9063","KX409683","2016/03/07"
"7731","CY259727","2016/02/29"
"12651","KX411467","2016/04/09"
"8786","KX411379","2016/03/31"
"3233","CY211066","2016/11/06"
"2204","CY208348","2016/03/01"
"3402","CY208351","2016/03/04"
"6369","CY208302","2016/02/18"
"6338","KX407523","2016/03/04"
"6343","KX407531","2016/03/04"
"12491","KX408843","2016/03/06"
"454","KX409235","2016/02/22"
"64","KX411859","2016/05/09"
"7563","CY208373","2016/03/03"
"7724","CY259623","2016/02/06"
"6192","KX915132","2016/04/06"
"6145","KX408827","2016/03/10"
"6109","KX406563","2016/02/02"
"12213","KX915548","2016/04/01"
"12172","KX408771","2016/02/03"
"447","KX407315","2016/02/24"
"8768","KY045371","2016/03/01"
"7430","KX409539","2016/03/16"
"7729","CY259687","2016/04/11"
"7044","KX915308","2016/04/18"
"7032","KX410251","2016/03/14"
"7243","KX408355","2016/01/18"
"5380","KX410419","2016/03/08"
"406","CY209848","2016/03/24"
"4573","CY221582","2017/01/28"
"6375","CY234889","2016/11/02"
"5730","CY211098","2016/11/19"
"2099","KX028871","2016/02/18"
"645","KY487472","2016/03/10"
"4986","KX409667","2016/03/09"
"4171","KX406979","2016/02/04"
"11984","CY208387","2016/02/23"
"5885","CY210026","2016/03/08"
"5094","KX411619","2016/04/04"
"11908","KX004209","2015/12/22"
"10588","CY208384","2016/03/01"
"10613","KX523746","2016/03/15"
"12223","KX915924","2016/05/05"
"10590","CY209788","2016/02/25"
"8039","KX406667","2016/02/04"
"3119","KX410779","2016/03/21"
"3380","KX409451","2016/02/28"
"10543","KX408419","2016/01/22"
"10542","KY044631","2016/01/22"
"10560","KX409643","2016/02/26"
"11920","KX407659","2016/02/29"
"11888","KY044975","2016/01/09"
"4157","KX406131","2016/01/05"
"12226","KX949211","2016/05/15"
"3114","KX915012","2016/03/17"
"3135","CY210014","2016/03/09"
"8288","KX915052","2016/03/30"
"8751","KX918788","2016/02/20"
"8752","KY045384","2016/02/20"
"6305","KX004810","2015/12/23"
"3765","KX409467","2016/02/24"
"3800","KX915404","2016/03/09"
"4836","CY210098","2016/04/26"
"7081","CY209864","2016/03/24"
"8880","KY925684","2016/04/04"
"7200","KX915388","2016/04/11"
"2100","KX028879","2016/02/19"
"4649","KX411011","2016/03/23"
"12992","KY273041","2016/02/15"
"4832","CY208247","2016/02/09"
"5840","KX919116","2016/03/01"
"2177","CY209432","2016/10/30"
"2173","KY289726","2016/09/29"
"8885","KY925242","2016/04/19"
"11803","KY926257","2016/04/25"
"8058","CY228941","2017/02/27"
"6968","CY222085","2017/01/31"
"8043","CY225486","2017/02/05"
"5878","CY215178","2016/12/29"
"427","CY218833","2016/12/28"
"5399","CY231186","2017/03/22"
"12313","CY218070","2016/12/29"
"12304","CY218230","2017/01/17"
"4184","CY224238","2017/02/22"
"12342","CY222093","2017/02/10"
"5388","CY225726","2017/03/07"
"1208","CY220815","2016/12/27"
"8157","CY223501","2017/02/27"
"8163","CY229045","2017/03/19"
"8188","CY244407","2017/03/23"
"1107","CY216993","2017/01/16"
"6261","CY232658","2017/04/05"
"8051","CY225598","2017/02/09"
"1197","CY214282","2016/12/24"
"4177","CY218897","2017/01/21"
"5776","CY244230","2017/03/02"
"5731","CY225678","2017/02/25"
"8403","CY229109","2017/03/04"
"7205","CY213362","2016/11/29"
"11187","CY218873","2017/01/21"
"3409","CY211106","2016/10/04"
"8806","CY210884","2016/10/26"
"8805","CY209448","2016/10/26"
"8807","CY211018","2016/11/09"
"11380","CY225622","2017/02/21"
"3013","CY223381","2017/02/01"
"6526","CY210846","2016/10/05"
"6534","CY211114","2016/11/21"
"6533","CY211122","2016/11/14"
"11046","CY211058","2016/11/10"
"1183","CY220871","2017/01/20"
"1286","CY238747","2017/02/12"
"1180","CY211074","2016/11/03"
"1190","CY213426","2016/11/28"
"12961","KY289771","2016/10/11"
"12879","KY289670","2016/10/26"
"6529","CY210899","2016/10/10"
"6530","CY217874","2016/10/10"
